,tweet_favorite,tweet_id,tweet_retweet,user_favorite,user_follower,user_friend,user_id,user_mention_favorite,user_mention_follower,user_mention_friend,user_mention_id,user_mention_screen_name,user_mention_statuses,user_screen_name,user_statuses
630,8,771548724057092096,2,2434,2145,96,2747215380,N/A,N/A,N/A,10228272,YouTube,N/A,PinopeYT,4970
631,0,771548721297235968,627,360,10,60,4504602863,N/A,N/A,N/A,365815687,CrankThatFrank,N/A,TheFunBear44,122
632,0,771548710597595140,0,517,2340,2293,56552457,N/A,N/A,N/A,10228272,YouTube,N/A,RonanPERNA,5844
633,0,771548708957659137,0,316,194,375,2320802136,N/A,N/A,N/A,10228272,YouTube,N/A,ObeyScrilla,1071
634,1,771548701072379904,0,1119,62,133,1694693227,N/A,N/A,N/A,4694319967,LiLNinjaAZ,N/A,WritesMusic247,704
635,0,771548687734497280,0,0,1,0,732068503830695936,N/A,N/A,N/A,10228272,YouTube,N/A,bienhuy213,50
636,0,771548669086621696,0,55,12,50,3436154051,N/A,N/A,N/A,10228272,YouTube,N/A,MorteGamer42,3394
637,0,771548667094274048,0,123,1005,1200,3439189426,N/A,N/A,N/A,10228272,YouTube,N/A,krono_zit,898
638,0,771548652762345472,0,35,391,809,1289137933,N/A,N/A,N/A,10228272,YouTube,N/A,total231,1294
639,0,771548649545269251,0,0,13,61,2699887933,N/A,N/A,N/A,10228272,YouTube,N/A,Brotherly4,72
640,0,771548649205604357,0,1,2,0,752283829327593472,N/A,N/A,N/A,10228272,YouTube,N/A,kraktoras007,21
641,0,771548646500290561,0,0,250,19,2429072863,N/A,N/A,N/A,N/A,N/A,N/A,nicodo20,30072
642,0,771548637545451525,0,0,17,60,3051760786,N/A,N/A,N/A,10228272,YouTube,N/A,kaweGAMERSbr,867
643,0,771548633342750720,0,0,9,53,749857720728162304,N/A,N/A,N/A,10228272,YouTube,N/A,quez_san,17
644,0,771548625373499392,1,2612,230,128,361974020,N/A,N/A,N/A,68010622,Brendamon_,N/A,horni_torrinco,35450
645,0,771548621552484354,144,15736,2308,51,2845241541,N/A,N/A,N/A,705740490348634112,luxIife,N/A,Imnotdry,11319
646,0,771548618801094656,14,5950,231,165,2882245620,N/A,N/A,N/A,2882245620,Cook_myo227,N/A,Cook_myo227,24513
647,0,771548609347137536,0,0,19,359,2949208274,N/A,N/A,N/A,N/A,N/A,N/A,ripingviper,9
648,0,771548605446369280,5,66,10,105,740541082610618370,N/A,N/A,N/A,3810810974,bubbles_plays,N/A,meawittlethunth,20
649,0,771548604737593344,0,0,582,1476,2929900746,N/A,N/A,N/A,N/A,N/A,N/A,minecraft___sp,16028
650,0,771548585183760384,0,540,19,52,4151725036,N/A,N/A,N/A,10228272,YouTube,N/A,Jman10171017,720
651,0,771548573397770241,0,9,7,29,737724972286771200,N/A,N/A,N/A,10228272,YouTube,N/A,zItz_Ic3_G0D,192
652,0,771548566032556032,0,1,6,38,3829320074,N/A,N/A,N/A,10228272,YouTube,N/A,FlameHacks,270
653,1,771548523791659009,0,631,131,173,726669018568871936,N/A,N/A,N/A,726671832426795008,ChiharuWriter,N/A,LittleBunne,103
654,0,771548513553350656,0,2,21,80,624352486,N/A,N/A,N/A,10228272,YouTube,N/A,fudidex_inacio,5026
655,2,771548501473763334,0,3,1089,10,2508245716,N/A,N/A,N/A,N/A,N/A,N/A,Zyood_Craft,2230
656,0,771548495886987265,0,270,138,125,1461285134,N/A,N/A,N/A,10228272,YouTube,N/A,mattexiled,1263
657,0,771548464568074240,0,27,1,10,756698060135206912,N/A,N/A,N/A,266135518,KSIOlajidebt,N/A,JadenEverything,15
658,0,771548434314559488,0,267,11,20,750672408986673152,N/A,N/A,N/A,10228272,YouTube,N/A,luiz130410,1249
659,0,771548413842173953,0,123,1005,1200,3439189426,N/A,N/A,N/A,10228272,YouTube,N/A,krono_zit,898
660,0,771548413234077696,0,35,391,809,1289137933,N/A,N/A,N/A,10228272,YouTube,N/A,total231,1294
661,1,771548412923654144,0,7172,560,116,4049803582,N/A,N/A,N/A,10228272,YouTube,N/A,SrLevelYT,3452
662,0,771548411950608384,0,26,33,117,3196682428,N/A,N/A,N/A,10228272,YouTube,N/A,nexxuzzgamer,196
663,0,771548410985852928,0,26,33,117,3196682428,N/A,N/A,N/A,10228272,YouTube,N/A,nexxuzzgamer,196
664,0,771548409656283136,0,3994,49,137,4766639599,N/A,N/A,N/A,10228272,YouTube,N/A,OliviaB351,2272
665,0,771548399984189441,502,417,229,512,2983011531,N/A,N/A,N/A,758103172858712064,Spanzi_,N/A,Boboblast_,638
666,0,771548397463490560,1,7503,336,191,68010622,N/A,N/A,N/A,N/A,N/A,N/A,Brendamon_,35558
667,2,771548388437336064,0,69,30,12,716419731083821056,N/A,N/A,N/A,N/A,N/A,N/A,sa__Minecraft,317
668,0,771548387460001792,0,6,4,12,4895091398,N/A,N/A,N/A,10228272,YouTube,N/A,Galvester123,218
669,0,771548377515368449,0,628,65,31,2637909159,N/A,N/A,N/A,749612628461363200,SonOfShoop,N/A,DeliriousjrG,856
670,0,771548371265794049,0,0,5,16,767129392137003008,N/A,N/A,N/A,10228272,YouTube,N/A,SilentWolf58,11
671,0,771548364659757056,0,349,69,333,704412105743732736,N/A,N/A,N/A,10228272,YouTube,N/A,Dablyu_,688
672,0,771548361392467969,0,9473,478,139,4056534011,N/A,N/A,N/A,10228272,YouTube,N/A,TBL1K,8552
673,0,771548345475010560,1,2269,627,533,4206912852,N/A,N/A,N/A,4795279890,ichiichinii,N/A,kiyomiitsu,16877
674,0,771548338701291521,0,626,1462,68,965714474,N/A,N/A,N/A,10228272,YouTube,N/A,AoF_ReseT,2196
675,0,771548321164906502,0,1435,257,252,1513363482,N/A,N/A,N/A,N/A,N/A,N/A,August_revo,69553
676,1,771548318342062081,0,0,213,4,1724872886,N/A,N/A,N/A,N/A,N/A,N/A,clickbait_bot,61276
677,0,771548317926891520,0,0,25,0,731784552142778368,N/A,N/A,N/A,N/A,N/A,N/A,vinememebot,2613
678,2,771548315905208320,1,29217,457,842,4795279890,N/A,N/A,N/A,N/A,N/A,N/A,ichiichinii,78884
679,0,771548307734663170,0,2269,627,533,4206912852,N/A,N/A,N/A,N/A,N/A,N/A,kiyomiitsu,16877
680,4,771548299509673984,0,5349,802,414,2150228759,N/A,N/A,N/A,4172329348,Leyok0,N/A,HopexVendetta,8772
681,0,771548285555257344,16,678,374,1398,2334366384,N/A,N/A,N/A,727165809823469568,Deztinn,N/A,tacosxnacos,2497
682,0,771548284343033856,0,35,391,809,1289137933,N/A,N/A,N/A,10228272,YouTube,N/A,total231,1294
683,0,771548267377070080,0,20,19,115,723985093799215104,N/A,N/A,N/A,10228272,YouTube,N/A,TheCorruptedTan,240
684,1,771548232354639875,0,2269,627,533,4206912852,N/A,N/A,N/A,N/A,N/A,N/A,kiyomiitsu,16877
685,0,771548231637446657,0,676,20,23,733301566850105345,N/A,N/A,N/A,10228272,YouTube,N/A,damilol12,792
686,0,771548228747526144,0,10378,4422,4530,2515602180,N/A,N/A,N/A,N/A,N/A,N/A,Hosshii_nico,23393
687,0,771548223395667969,641,620,107,206,704089041700937728,N/A,N/A,N/A,3393745678,beta_mcpe1,N/A,soybelvis,287
688,0,771548221915078656,0,520,928,703,2204286168,N/A,N/A,N/A,N/A,N/A,N/A,DigitalDragonCo,11912
689,0,771548205464956928,0,0,307,0,366321628,N/A,N/A,N/A,N/A,N/A,N/A,hotvideoit,30416
690,0,771548203577581573,38,6315,303,1040,3398078379,N/A,N/A,N/A,2309249210,GamingWithJen,N/A,spooky_fae,8418
691,1,771548192764678145,1,827,165,50,4884816881,N/A,N/A,N/A,2364251504,Bailage,N/A,Redubsence,249
692,11,771548184548036608,4,1623,2272,109,2479027048,N/A,N/A,N/A,N/A,N/A,N/A,Juego_Retro,3330
693,0,771548172158054400,1,7172,560,116,4049803582,N/A,N/A,N/A,4056534011,TBL1K,N/A,SrLevelYT,3452
694,0,771548171528908800,0,9071,89,134,2840738764,N/A,N/A,N/A,10228272,YouTube,N/A,ronaldozrx1,2723
695,0,771548131284557825,0,170,169,539,2557934425,N/A,N/A,N/A,10228272,YouTube,N/A,hiiamjello,867
696,0,771548128767975427,0,1,8,26,764241650826616832,N/A,N/A,N/A,716998591684816896,minecraft_tabi,N/A,JKJCJS6,23
697,0,771548128134606849,47,11832,123,315,397210921,N/A,N/A,N/A,1853845963,58_gopper,N/A,miyatake10dan,42956
698,0,771548116461821953,0,5239,628,880,4824642361,N/A,N/A,N/A,N/A,N/A,N/A,perry_ebooks,71112
699,0,771548106303209473,1,843,217,487,764659187003514881,N/A,N/A,N/A,764659187003514881,Itz_Chris100,N/A,Itz_Chris100,658
700,0,771548101542674432,0,0,1482,0,404001956,N/A,N/A,N/A,N/A,N/A,N/A,yukkurisan_bot,448634
701,0,771548101014237184,0,9473,478,139,4056534011,N/A,N/A,N/A,10228272,YouTube,N/A,TBL1K,8552
702,1,771548093669978112,1,843,217,487,764659187003514881,N/A,N/A,N/A,N/A,N/A,N/A,Itz_Chris100,658
703,0,771548088242540545,0,314,594,1276,2511162334,N/A,N/A,N/A,N/A,N/A,N/A,Minecraft_19955,5317
704,0,771548082760671233,0,681,50,73,2391095569,N/A,N/A,N/A,10228272,YouTube,N/A,MateWhiter,1860
705,0,771548062640590848,0,0,1,0,4872864801,N/A,N/A,N/A,10228272,YouTube,N/A,NoPotzHD,12
706,0,771548047608193024,0,34,7,10,767094453001531392,N/A,N/A,N/A,N/A,N/A,N/A,RawGatorYT,53
707,0,771548046492471300,0,204,19,61,734899684809015297,N/A,N/A,N/A,10228272,YouTube,N/A,ManyCraftGames,1767
708,0,771548036883292160,0,1262,241,1162,3239117424,N/A,N/A,N/A,10228272,YouTube,N/A,Leooprro,4069
709,0,771548020248686593,0,1262,241,1162,3239117424,N/A,N/A,N/A,10228272,YouTube,N/A,Leooprro,4069
710,0,771548001714057216,0,1017,59,99,2768567855,N/A,N/A,N/A,10228272,YouTube,N/A,momeebo,2319
711,0,771547996651565056,0,4,8,16,384101578,N/A,N/A,N/A,10228272,YouTube,N/A,Timoman6,522
712,0,771547980616773632,0,30,17,50,4169037184,N/A,N/A,N/A,10228272,YouTube,N/A,xablau_1227,155
713,0,771547977177456644,121,5815,133,513,3013916748,N/A,N/A,N/A,59246793,Kkcomics,N/A,HansonHailie,6080
714,0,771547951248224256,0,3128,135,96,2854205804,N/A,N/A,N/A,N/A,N/A,N/A,kuuki3973,12253
715,0,771547949792768000,0,3,51,10,2950297856,N/A,N/A,N/A,N/A,N/A,N/A,Minecraftbot1,384
716,0,771547945208467456,0,1,175,237,1487422962,N/A,N/A,N/A,N/A,N/A,N/A,cyx00622migu,1073
717,1,771547942398287872,0,201,82,68,321622624,N/A,N/A,N/A,2153165539,PAINSBLADES,N/A,Load7_,652
718,0,771547925813932032,0,30,41,326,3728184256,N/A,N/A,N/A,10228272,YouTube,N/A,MateusMF9,2140
719,0,771547918616539138,53,704,205,319,1367667613,N/A,N/A,N/A,2440194036,TheAlexaCanal,N/A,ArianatorHoran5,976
720,0,771547911461015552,0,8,9,18,750803164484476928,N/A,N/A,N/A,10228272,YouTube,N/A,BlackMineTweets,48
721,0,771547904787951616,14,6315,303,1040,3398078379,N/A,N/A,N/A,2309249210,GamingWithJen,N/A,spooky_fae,8418
722,0,771547894788661252,0,2285,155,219,3029290917,N/A,N/A,N/A,N/A,N/A,N/A,_NanoHeart_,6429
723,0,771547890539896832,0,8,85,121,165464943,N/A,N/A,N/A,10228272,YouTube,N/A,valmerlim,3073
724,0,771547888652476417,0,0,169,200,3309944767,N/A,N/A,N/A,N/A,N/A,N/A,shakainomado123,1955
725,0,771547885192175616,0,16102,1130,97,3648409647,N/A,N/A,N/A,10228272,YouTube,N/A,Guilherme_Zyon,5891
