,ChannelTitle,ChannelID,SubscriberCount
80,Folagor03,UCYcdw2wL6W6iGBKZgGK_Hjw,1416797
81,MrDalekJD,UCMUP9j-QidC_S0KLlO06uCg,1408925
82,DotaCinema,UCNRQ-DWUXf4UVN9L31Y9f3Q,1379712
83,Robbaz,UCN474WQPkqqhUbxhkXKieQw,1374012
84,paulsoaresjr,UCP6f9x4iXk3LH8Q1sqJmYPQ,1373960
85,Cam Sucks at Gaming,UCT2x1vuvgYdhk-kQdlzn6yA,1361559
86,EnzoKnol,UCh8bTHe4T8o7RIU7R5EPX-w,1343455
87,HappyHour,UClLFG4uDxke_oBkZ78ktEog,1335659
88,Aypierre,UCA5sfitizqs1oEbB5KY4uKQ,1334289
89,chaosxsilencer,UCJAlToHny9Llt6mR7UCEhTQ,1307455
90,LaSalle,UCyMy3i-BaVOmOwTZskm52Ew,1288541
91,nickatnyte,UCMxYQX1zaepCgmiSmwbT39w,1248262
92,Galadon Gaming - Clash and Pokemon GO,UC2l8G7UE41Vaby59Dfg6r3w,1236916
93,MYSTIC7,UCPGnxMlcQtYKLAYymFgB3YA,1233212
94,alexelcapo,UCdRx6BjmUwdP7pfGIYPRHaQ,1228537
95,Drift0r,UCk8cNb10L5rmV9xB13ADCWA,1227255
96,TWOSYNC,UC8vXGfLggx4CAFsr2i0IoRA,1225000
97,TheRelaxingEnd,UCWVuy4NPohItH9-Gr7e8wqw,1216448
98,Fangs,UCmaB5yT3qtZL5Ci_8FYZIcg,1198312
99,AA9skillz,UCL7vy7MDOq9-tE-r6taQBlw,1176612
